date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:41	2079231/2079231	---MC-	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Jul%202021%2019:14:38%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfont.svg?v=1.9.32	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfontb43a.svg	(from https://csr.live/assets/8/8f271511da/315641f9/css/materialdesignicons.min.css)
00:44:42	1016604/1016604	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2019:14:39%20GMT	https://csr.live/images/background.jpeg	%1d/csrlive/csr.live/images/background.jpg	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
00:44:42	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:14:42%20GMT	https://csr.live/images/global_company_2.jpg	%1d/csrlive/csr.live/images/global_company_2.41.delayed	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
00:44:43	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:14:43%20GMT	https://csr.live/images/global_company_3.jpg	%1d/csrlive/csr.live/images/global_company_3.42.delayed	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
00:44:44	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:14:44%20GMT	https://csr.live/images/global_company_4.jpg	%1d/csrlive/csr.live/images/global_company_4.43.delayed	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
00:44:45	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:14:45%20GMT	https://csr.live/images/global_company_5.jpg	%1d/csrlive/csr.live/images/global_company_5.44.delayed	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
00:44:46	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:14:46%20GMT	https://csr.live/images/StockSnap.jpg	%1d/csrlive/csr.live/images/StockSnap.45.delayed	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
00:44:47	59462/59462	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2019:14:47%20GMT	https://csr.live/assets/8/8f271511da/315641f9/images/video_bg.jpg	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/images/video_bg.jpg	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
00:44:48	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:14:48%20GMT	https://csr.live/assets/8/8f271511da/315641f9/images/bg_pettern.jpg	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/images/bg_pettern.47.delayed	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
00:44:49	59462/59462	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2019:14:49%20GMT	https://csr.live/assets/8/8f271511da/315641f9/images/bg_counter.jpg	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/images/bg_counter.jpg	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
00:44:50	20127/20127	---MC-	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Jul%202021%2019:14:49%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.eot	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.eot	(from https://csr.live/assets/8/8f271511da/315641f9/css/landing-bootstrap.css)
00:44:51	20127/20127	---MC-	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Jul%202021%2019:14:50%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.eot?	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from https://csr.live/assets/8/8f271511da/315641f9/css/landing-bootstrap.css)
00:44:52	18028/18028	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:51%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.woff2	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.html	(from https://csr.live/assets/8/8f271511da/315641f9/css/landing-bootstrap.css)
00:44:53	23424/23424	---MC-	200	added ('OK')	application/font-woff	date:Thu,%2022%20Jul%202021%2019:14:52%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.woff	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.woff	(from https://csr.live/assets/8/8f271511da/315641f9/css/landing-bootstrap.css)
00:44:54	45404/45404	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:53%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.ttf	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular-2.html	(from https://csr.live/assets/8/8f271511da/315641f9/css/landing-bootstrap.css)
00:44:55	108738/108738	---MC-	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Jul%202021%2019:14:54%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.svg	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/bootstrap/glyphicons-halflings-regular.svg	(from https://csr.live/assets/8/8f271511da/315641f9/css/landing-bootstrap.css)
00:44:56	145933/145933	---MC-	200	added ('OK')	text/css	date:Thu,%2022%20Jul%202021%2019:14:55%20GMT	https://csr.live/assets/8/8f271511da/f4b899c7/css/bootstrap.css	%1d/csrlive/csr.live/assets/8/8f271511da/f4b899c7/css/bootstrap.css	(from https://csr.live/exchange)
00:44:57	36536/36536	---MC-	200	added ('OK')	text/css	date:Thu,%2022%20Jul%202021%2019:14:56%20GMT	https://csr.live/assets/8/8f271511da/716830f5/themes/smoothness/jquery-ui.css	%1d/csrlive/csr.live/assets/8/8f271511da/716830f5/themes/smoothness/jquery-ui.css	(from https://csr.live/exchange)
00:44:58	74002/74002	---MC-	200	added ('OK')	text/css	date:Thu,%2022%20Jul%202021%2019:14:57%20GMT	https://csr.live/assets/8/8f271511da/dcbd5331/css/dex_v2.css	%1d/csrlive/csr.live/assets/8/8f271511da/dcbd5331/css/dex_v2.css	(from https://csr.live/exchange)
00:44:59	70842/70842	---MC-	200	added ('OK')	text/css	date:Thu,%2022%20Jul%202021%2019:14:58%20GMT	https://csr.live/assets/8/8f271511da/dcbd5331/css/material-design-iconic-font.min.css	%1d/csrlive/csr.live/assets/8/8f271511da/dcbd5331/css/material-design-iconic-font.min.css	(from https://csr.live/exchange)
00:45:00	57269/57269	---MC-	200	added ('OK')	text/css	date:Thu,%2022%20Jul%202021%2019:14:59%20GMT	https://csr.live/assets/8/8f271511da/dcbd5331/css/ionicons.css	%1d/csrlive/csr.live/assets/8/8f271511da/dcbd5331/css/ionicons.css	(from https://csr.live/exchange)
00:45:01	75052/75052	---MC-	200	added ('OK')	text/css	date:Thu,%2022%20Jul%202021%2019:15:00%20GMT	https://csr.live/assets/8/8f271511da/dcbd5331/css/animate.css	%1d/csrlive/csr.live/assets/8/8f271511da/dcbd5331/css/animate.css	(from https://csr.live/exchange)
00:45:01	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Jul%202021%2019:15:01%20GMT	https://csr.live/profile	%1d/csrlive/csr.live/profile.55.delayed	(from https://csr.live/exchange)
00:45:02	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Jul%202021%2019:15:02%20GMT	https://csr.live/logout	%1d/csrlive/csr.live/logout.56.delayed	(from https://csr.live/exchange)
00:45:03	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Jul%202021%2019:15:03%20GMT	https://csr.live/addresses	%1d/csrlive/csr.live/addresses.57.delayed	(from https://csr.live/exchange)
00:45:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://csr.live/addresses?_pjax=%23user-account-pjax&sort=-created_at	%1d/csrlive/csr.live/addresses.584a66.delayed	(from https://csr.live/exchange)
00:45:06	77031/77031	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:15:05%20GMT	https://csr.live/addresses?_pjax=%23user-account-pjax&sort=-created_at	%1d/csrlive/csr.live/addresses4a66.html	(from https://csr.live/exchange)
00:45:07	19487/19487	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:15:06%20GMT	https://csr.live/wallet/default/order	%1d/csrlive/csr.live/wallet/default/order.html	(from https://csr.live/exchange)
00:45:08	84913/84913	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:15:08%20GMT	https://csr.live/wallet/default/withdraw	%1d/csrlive/csr.live/wallet/default/withdraw.html	(from https://csr.live/exchange)
